ID,Description
COG2089,acid synthase
COG2091,lysine biosynthetic process via aminoadipic acid
COG2094,Belongs to the DNA glycosylase MPG family
COG2095,MarC family integral membrane protein
COG2096,Adenosyltransferase
COG2099,Precorrin-6x reductase
COG2103,Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6- phosphate and D-lactate
COG2104,thiamine diphosphate biosynthetic process
COG2105,PFAM AIG2 family protein
COG2109,Required for both de novo synthesis of the corrin ring for the assimilation of exogenous corrinoids. Participates in the adenosylation of a variety of incomplete and complete corrinoids
COG2110,phosphatase homologous to the C-terminal domain of histone macroH2A1
COG2111,Na H antiporter
COG2113,Glycine betaine
COG2114,Pfam Adenylate and Guanylate cyclase catalytic domain
COG2115,Belongs to the xylose isomerase family
COG2116,formate transmembrane transporter activity
COG2119,membrane
COG2120,A mycothiol (MSH, N-acetylcysteinyl-glucosaminyl- inositol) S-conjugate amidase, it recycles conjugated MSH to the N-acetyl cysteine conjugate (AcCys S-conjugate, a mercapturic acid) and the MSH precursor. Involved in MSH-dependent detoxification of a number of alkylating agents and antibiotics
COG2124,cytochrome p450
COG2127,Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation
COG2128,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity
COG2130,NADP-dependent
COG2131,deaminase
COG2132,Multicopper oxidase
COG2133,pyrroloquinoline quinone binding
COG2135,peptidase activity
COG2137,regulation of response to DNA damage stimulus
COG2138,Cobalamin (vitamin B12) biosynthesis CbiX protein
COG2141,COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases
COG2142,Succinate dehydrogenase hydrophobic membrane anchor
COG2145,Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ)
COG2146,nitrite reductase [NAD(P)H] activity
COG2148,undecaprenyl-phosphate glucose phosphotransferase activity
COG2149,membrane
COG2151,metal-sulfur cluster biosynthetic enzyme
COG2153,protein acetylation
COG2154,pterin-4-alpha-carbinolamine dehydratase
COG2156,Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex
COG2159,amidohydrolase
COG2161,toxin-antitoxin pair type II binding
COG2165,general secretion pathway protein
COG2166,iron-sulfur cluster assembly
COG2169,Transcriptional regulator
COG2170,ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity
COG2171,N-acyltransferase activity
COG2172,sigma factor antagonist activity
COG2173,Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide
COG2175,clavaminate synthase activity
COG2176,DNA-directed DNA polymerase activity
COG2177,Part of the ABC transporter FtsEX involved in
COG2179,HAD superfamily (subfamily IIIA) phosphatase, TIGR01668
COG2181,nitrate reductase activity
COG2182,Extracellular solute-binding protein
COG2183,response to ionizing radiation
COG2185,Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly
COG2186,Transcriptional regulator
COG2188,Transcriptional regulator
COG2189,Belongs to the N(4) N(6)-methyltransferase family
COG2190,(PTS) system
COG2193,ferroxidase activity
COG2194,sulfuric ester hydrolase activity
COG2195,Cleaves the N-terminal amino acid of tripeptides
COG2197,response regulator
32Y93,COG2198 FOG HPt domain
COG2198,Histidine kinase
COG2199,diguanylate cyclase activity
COG2200,EAL domain
COG2201,protein-glutamate methylesterase activity
COG2202,Pas domain
COG2203,Gaf domain
COG2204,response regulator
COG2205,protein histidine kinase activity
COG2206,PFAM metal-dependent phosphohydrolase, HD sub domain
2ZDKA,COG2207 AraC-type DNA-binding domain-containing proteins
COG2207,Transcriptional regulator
COG2208,phosphoserine phosphatase activity
COG2211,Major facilitator Superfamily
COG2212,antiporter activity
COG2214,Heat shock protein DnaJ domain protein
COG2216,Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system
30DNX,COG2217 Cation transport ATPase
COG2217,Heavy metal translocating P-type atpase
COG2220,Zn-dependent hydrolases of the beta-lactamase fold
COG2222,sugar isomerase
COG2223,nitrite transmembrane transporter activity
COG2224,Isocitrate lyase
COG2225,Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA
COG2226,methyltransferase
COG2227,3-demethylubiquinone-9 3-O-methyltransferase activity
COG2230,cyclopropane-fatty-acyl-phospholipid synthase
COG2233,PERMEase
COG2234,aminopeptidase activity
COG2235,arginine
COG2236,Acts on guanine, xanthine and to a lesser extent hypoxanthine
COG2239,Acts as a magnesium transporter
COG2240,Pyridoxal kinase involved in the salvage pathway of pyridoxal 5'-phosphate (PLP). Catalyzes the phosphorylation of pyridoxal to PLP
COG2241,protein methyltransferase activity
COG2242,protein methyltransferase activity
COG2243,precorrin-2 c20-methyltransferase
COG2244,polysaccharide biosynthetic process
COG2246,polysaccharide biosynthetic process
COG2249,NAD(P)H dehydrogenase (quinone) activity
COG2252,PERMEase
COG2253,Psort location Cytoplasmic, score
COG2255,four-way junction helicase activity
COG2256,atpase related to the helicase subunit of the holliday junction resolvase
COG2257,FlhB HrpN YscU SpaS Family
COG2258,MOSC domain
COG2259,Doxx family
COG2261,transglycosylase associated protein
COG2262,GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
COG2264,protein methyltransferase activity
COG2265,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
COG2267,carboxylic ester hydrolase activity
COG2268,Band 7 protein
COG2270,Major facilitator Superfamily
COG2271,Major facilitator Superfamily
COG2272,Belongs to the type-B carboxylesterase lipase family
COG2273,Hydrolase Family 16
COG2274,protein secretion by the type I secretion system
COG2301,Belongs to the HpcH HpaI aldolase family
COG2302,S4 RNA-binding domain
COG2303,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the oxidation of choline to betaine aldehyde and betaine aldehyde to glycine betaine at the same rate
COG2304,oxidoreductase activity
COG2307,Protein conserved in bacteria
COG2308,Evidence 4 Homologs of previously reported genes of
COG2309,aminopeptidase activity
COG2311,Membrane
COG2314,TM2 domain
COG2315,Protein conserved in bacteria
COG2317,Broad specificity carboxypetidase that releases amino acids sequentially from the C-terminus, including neutral, aromatic, polar and basic residues
COG2318,DinB family
COG2319,Wd-40 repeat
COG2320,Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
COG2321,neutral zinc metallopeptidase
COG2323,membrane
COG2326,polyphosphate kinase activity
COG2327,Polysaccharide pyruvyl transferase
COG2329,Antibiotic biosynthesis monooxygenase
COG2331,Regulatory protein, FmdB family
COG2332,Heme chaperone required for the biogenesis of c-type cytochromes. Transiently binds heme delivered by CcmC and transfers the heme to apo-cytochromes in a process facilitated by CcmF and CcmH
COG2333,competence protein COMEC
COG2334,A protein kinase that phosphorylates Ser and Thr residues. Probably acts to suppress the effects of stress linked to accumulation of reactive oxygen species. Probably involved in the extracytoplasmic stress response
COG2335,COG2335, Secreted and surface protein containing fasciclin-like repeats
COG2337,Toxic component of a toxin-antitoxin (TA) module
COG2339,peptidase activity
COG2340,Cysteine-rich secretory protein family
COG2343,Domain of unknown function (DUF427)
COG2344,Modulates transcription in response to changes in cellular NADH NAD( ) redox state
COG2345,Transcriptional regulator
COG2346,COG2346, Truncated hemoglobins
COG2348,transferase activity, transferring amino-acyl groups
COG2350,Protein conserved in bacteria
COG2351,hydroxyisourate hydrolase activity
COG2352,Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle
COG2353,YceI-like domain
COG2354,Protein conserved in bacteria
COG2355,Zn-dependent dipeptidase, microsomal dipeptidase
COG2356,endonuclease I
COG2357,RelA SpoT domain protein
COG2358,TRAP transporter, solute receptor (TAXI family
COG2360,Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine
COG2363,Small membrane protein
COG2364,Membrane
COG2365,Tyrosine phosphatase family
COG2366,antibiotic biosynthetic process
COG2367,Beta-lactamase
COG2369,cell adhesion
COG2370,cobalamin-transporting ATPase activity
COG2371,Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly
COG2372,response to copper ion
COG2373,Large extracellular alpha-helical protein
COG2374,Endonuclease Exonuclease Phosphatase
COG2375,cellular response to nickel ion
COG2376,Dihydroxyacetone kinase
COG2377,Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling
COG2378,regulation of single-species biofilm formation
COG2382,esterase
COG2384,SAM-dependent methyltransferase
COG2385,sporulation resulting in formation of a cellular spore
COG2386,Required for the export of heme to the periplasm for the biogenesis of c-type cytochromes
COG2388,GCN5-related N-acetyl-transferase
COG2390,Transcriptional regulator
COG2391,methyltransferase activity
COG2409,Drug exporters of the RND superfamily
COG2421,Acetamidase/Formamidase family
COG2423,ornithine cyclodeaminase activity
COG2433,Pfam Transposase IS66
COG2440,electron transfer flavoprotein-ubiquinone oxidoreductase
COG2453,phosphatase
COG2501,S4 domain
COG2508,Transcriptional regulator
COG2509,5-formyltetrahydrofolate cyclo-ligase activity
COG2513,Catalyzes the thermodynamically favored C-C bond cleavage of (2R,3S)-2-methylisocitrate to yield pyruvate and succinate
COG2515,1-aminocyclopropane-1-carboxylate deaminase
COG2518,Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins
COG2519,Catalyzes the S-adenosyl-L-methionine-dependent formation of N(1)-methyladenine at position 58 (m1A58) in tRNA
COG2606,Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily
COG2607,Atpase (Aaa
COG2608,mercury ion transmembrane transporter activity
COG2609,component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
COG2610,gluconate transmembrane transporter activity
COG2706,6-phosphogluconolactonase activity
COG2715,membrane protein required for spore maturation
COG2717,Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. MsrQ provides electrons for reduction to the reductase catalytic subunit MsrP, using the quinone pool of the respiratory chain
COG2718,Belongs to the UPF0229 family
COG2719,SpoVR family
COG2720,vancomycin resistance protein
COG2721,sulfolactate sulfo-lyase activity
COG2723,6-phospho-beta-galactosidase activity
COG2730,Belongs to the glycosyl hydrolase 5 (cellulase A) family
COG2733,membrane
COG2738,Putative neutral zinc metallopeptidase
COG2739,Might take part in the signal recognition particle (SRP) pathway. This is inferred from the conservation of its genetic proximity to ftsY ffh. May be a regulatory protein
COG2740,Nucleic-acid-binding protein implicated in transcription termination
COG2747,anti-sigma28 factor FlgM
COG2755,lipolytic protein G-D-S-L family
COG2759,Belongs to the formate--tetrahydrofolate ligase family
COG2761,dithiol-disulfide isomerase involved in polyketide biosynthesis
COG2764,glyoxalase bleomycin resistance protein dioxygenase
COG2766,serine protein kinase
COG2770,Histidine kinase
COG2771,luxR family
336UA,COG2801 Transposase and inactivated derivatives
COG2801,Transposase and inactivated derivatives
COG2802,ATP-dependent protease La (LON) substrate-binding domain
COG2804,Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB
COG2805,Type II/IV secretion system protein
COG2807,transmembrane transport
COG2808,Putative FMN-binding domain
COG2812,DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity
COG2813,Specifically methylates the guanine in position
COG2814,Major facilitator Superfamily
COG2815,serine threonine protein kinase
COG2816,NAD+ diphosphatase activity
COG2818,Glycosylase
COG2819,hydrolase of the alpha beta superfamily
COG2820,Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1- phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis
COG2821,murein-degrading enzyme. may play a role in recycling of muropeptides during cell elongation and or cell division
COG2823,Periplasmic or secreted lipoprotein
COG2824,Alkylphosphonate utilization operon protein PhnA
COG2825,PFAM Outer membrane chaperone Skp (OmpH)
COG2826,transposase and inactivated derivatives, IS30 family
COG2827,Endonuclease containing a URI domain
COG2828,Protein conserved in bacteria
COG2831,hemolysin activation secretion protein
COG2832,Protein of unknown function (DUF454)
COG2834,Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)
COG2835,tetraacyldisaccharide 4'-kinase activity
COG2836,Biogenesis protein
COG2837,iron assimilation
COG2838,Isocitrate dehydrogenase
COG2839,Protein conserved in bacteria
COG2840,Smr protein MutS2
COG2843,Capsule synthesis protein
COG2844,Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen
COG2846,Di-iron-containing protein involved in the repair of iron-sulfur clusters
COG2847,Copper chaperone PCu(A)C
COG2850,peptidyl-arginine hydroxylation
COG2852,Protein conserved in bacteria
COG2853,Lipoprotein
COG2854,intermembrane phospholipid transfer
COG2855,membrane
COG2856,Zn peptidase
COG2857,Cytochrome c1
COG2860,membrane
COG2861,carbohydrate metabolic process
COG2863,cytochrome
COG2865,translation initiation factor activity
COG2866,Carboxypeptidase
COG2867,negative regulation of translational initiation
COG2868,ribosomal protein
COG2870,Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose
COG2871,sodium ion transport
COG2873,o-acetylhomoserine
COG2875,Belongs to the precorrin methyltransferase family
COG2876,3-deoxy-7-phosphoheptulonate synthase activity
COG2877,3-deoxy-8-phosphooctulonate synthase activity
COG2878,Part of a membrane complex involved in electron transport
COG2882,bacterial-type flagellum organization
COG2884,Cell division ATP-binding protein ftsE
COG2885,chlorophyll binding
COG2887,Belongs to the helicase family. UvrD subfamily
COG2890,protein-(glutamine-N5) methyltransferase activity
COG2891,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins
COG2893,phosphoenolpyruvate-dependent sugar phosphotransferase system
COG2894,cell division
COG2895,sulfate adenylyltransferase (ATP) activity
COG2896,Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate
COG2897,thiosulfate sulfurtransferase activity
COG2898,Catalyzes the transfer of a lysyl group from L-lysyl- tRNA(Lys) to membrane-bound phosphatidylglycerol (PG), which produces lysylphosphatidylglycerol (LPG), a major component of the bacterial membrane with a positive net charge. LPG synthesis contributes to bacterial virulence as it is involved in the resistance mechanism against cationic antimicrobial peptides (CAMP) produces by the host's immune system (defensins, cathelicidins) and by the competing microorganisms
COG2900,Belongs to the SlyX family
COG2902,Dehydrogenase
COG2905,signal-transduction protein containing cAMP-binding and CBS domains
COG2906,2 iron, 2 sulfur cluster binding
COG2907,Flavin containing amine oxidoreductase
COG2908,Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
COG2909,trisaccharide binding
COG2910,NAD(P)H-binding
COG2911,Protein conserved in bacteria
COG2913,Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
COG2917,probably involved in intracellular septation
COG2918,glutathione biosynthetic process
COG2919,Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic
COG2921,Belongs to the UPF0250 family
COG2924,Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes
COG2927,DNA polymerase III (CHI subunit)
COG2928,Conserved Protein
300B9,COG2931 RTX toxins and related Ca2 -binding proteins
COG2931,calcium- and calmodulin-responsive adenylate cyclase activity
COG2932,Transcriptional regulator
COG2935,proteasome-mediated ubiquitin-dependent protein catabolic process
COG2936,dipeptidyl-peptidase activity
COG2938,An FAD assembly protein, which accelerates covalent attachment of the cofactor into other proteins. Plays an essential role in the assembly of succinate dehydrogenase (SDH, respiratory complex II), an enzyme complex that is a component of both the tricarboxylic acid cycle and the electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Required for flavinylation (covalent attachment of FAD) of the flavoprotein subunit SdhA of SDH
COG2942,2-epimerase
COG2944,sequence-specific DNA binding
COG2945,thiolester hydrolase activity
COG2947,Ubiquinol--cytochrome c reductase
COG2951,lytic endotransglycosylase activity
COG2954,triphosphatase activity
COG2956,Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane
COG2957,Belongs to the agmatine deiminase family
COG2959,enzyme of heme biosynthesis
COG2960,long-chain fatty acid transporting porin activity
COG2961,Specifically methylates the adenine in position 2030 of 23S rRNA
COG2962,Rard protein
COG2963,transposase activity
COG2964,Protein conserved in bacteria
COG2966,Psort location CytoplasmicMembrane, score
COG2967,ApaG domain
COG2968,Membrane
COG2971,BadF BadG BcrA BcrD
COG2972,Histidine kinase
COG2976,Protein conserved in bacteria
COG2980,Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane
COG2981,High affinity, high specificity proton-dependent sulfate transporter, which mediates sulfate uptake. Provides the sulfur source for the cysteine synthesis pathway
COG2982,Protein involved in outer membrane biogenesis
COG2983,Belongs to the UPF0260 family
COG2984,ABC transporter substrate binding protein
COG2986,histidine ammonia-lyase
COG2987,Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate
COG2989,Protein conserved in bacteria
COG2993,Cytochrome C oxidase, mono-heme subunit/FixO
COG2996,Protein conserved in bacteria
COG3000,fatty acid hydroxylase
COG3001,Fructosamine kinase
COG3004,Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
COG3010,Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P)
COG3011,Protein conserved in bacteria
COG3012,SEC-C Motif Domain Protein
COG3021,interspecies interaction between organisms
COG3022,response to hydroperoxide
COG3023,N-Acetylmuramoyl-L-alanine amidase
COG3024,Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase
COG3025,triphosphatase activity
COG3027,Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division
COG3030,protein affecting phage T7 exclusion by the F plasmid
COG3034,peptidoglycan biosynthetic process
COG3038,cytochrome b561
COG3039,Transposase
COG3040,lipid binding
COG3047,cAMP biosynthetic process
COG3063,Type IV pilus biogenesis stability protein PilW
COG3064,Membrane
32S52,COG3070 Regulator of competence-specific genes
COG3070,regulator of competence-specific genes
COG3071,HemY protein
COG3081,Nucleoid-associated protein
COG3087,Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
COG3088,subunit of a heme lyase
330K9,COG3090 TRAP-type C4-dicarboxylate transport system, small permease component
COG3090,Trap-type c4-dicarboxylate transport system, small permease component
COG3091,SprT-like family
COG3093,addiction module antidote protein HigA
COG3103,Sh3 type 3 domain protein
COG3104,oligopeptide transport
COG3108,Peptidase M15
COG3115,cell septum assembly
COG3117,lipopolysaccharide transmembrane transporter activity
COG3118,belongs to the thioredoxin family
COG3119,arylsulfatase activity
COG3125,oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
COG3127,ABC-type transport system involved in lysophospholipase L1, biosynthesis, permease component
COG3137,Salt-induced outer membrane protein
COG3142,Participates in the control of copper homeostasis
COG3144,bacterial-type flagellum assembly
COG3145,DNA-N1-methyladenine dioxygenase activity
COG3146,Protein conserved in bacteria
COG3147,Non-essential cell division protein that could be required for efficient cell constriction
COG3152,Membrane
COG3153,acetyltransferase
COG3156,type II secretion system protein K
COG3158,transport of potassium into the cell
COG3161,chorismate lyase activity
COG3162,membrane
COG3164,Protein of unknown function
COG3166,PFAM Fimbrial assembly family protein
COG3167,carbon utilization
COG3170,Tfp pilus assembly protein FimV
COG3172,ATPase kinase involved in NAD metabolism
COG3173,Aminoglycoside phosphotransferase
COG3176,hemolysin
COG3177,Filamentation induced by cAMP protein fic
COG3178,'Phosphotransferase
COG3180,Ammonia monooxygenase
COG3181,Tripartite tricarboxylate transporter family receptor
COG3182,Iron-regulated membrane protein
COG3185,4-Hydroxyphenylpyruvate dioxygenase
COG3187,Heat shock protein
COG3188,usher protein
COG3189,MarR family transcriptional regulator
COG3190,flagellar
COG3191,aminopeptidase activity
COG3193,protein, possibly involved in utilization of glycolate and propanediol
COG3195,allantoin biosynthetic process
COG3197,Cytochrome oxidase maturation protein
COG3200,phospho-2-dehydro-3-deoxyheptonate aldolase
COG3201,nicotinamide mononucleotide transporter
COG3203,Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane
COG3206,protein involved in exopolysaccharide biosynthesis
COG3209,COG3209 Rhs family protein
COG3210,domain, Protein
COG3211,Phosphatase
COG3212,peptidase
COG3214,Protein conserved in bacteria
COG3216,Uncharacterized protein conserved in bacteria (DUF2062)
COG3217,Mosc domain protein beta barrel domain protein
COG3220,belongs to the UPF0276 family
COG3221,ABC-type phosphate phosphonate transport system periplasmic component
COG3225,cell adhesion
COG3227,Zinc metalloprotease (Elastase)
COG3237,CsbD-like
COG3238,Protein conserved in bacteria
COG3239,Fatty acid desaturase
COG3243,poly(R)-hydroxyalkanoic acid synthase
COG3246,L-lysine catabolic process to acetate
COG3247,response to pH
COG3250,beta-galactosidase activity
COG3253,May function as heme-dependent peroxidase
COG3254,rhamnose metabolic process
COG3255,Sterol carrier protein
COG3263,regulation of cellular component size
COG3264,Mechanosensitive ion channel
COG3265,gluconokinase activity
COG3266,domain, Protein
COG3267,Type II secretory pathway component ExeA
COG3271,cysteine-type peptidase activity
COG3275,phosphorelay sensor kinase activity
COG3278,Belongs to the heme-copper respiratory oxidase family
COG3279,Response regulator of the LytR AlgR family
COG3280,synthase
COG3284,Transcriptional regulator
COG3285,dna ligase
COG3288,NAD(P)+ transhydrogenase (AB-specific) activity
COG3290,protein histidine kinase activity
COG3291,Pkd domain containing protein
COG3292,Two component regulator propeller
COG3293,Transposase
COG3299,homolog of phage Mu protein gp47
COG3304,Inner membrane component domain
COG3307,-O-antigen
COG3311,Transcriptional regulator
COG3313,Fe-S protein
COG3315,Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
COG3321,synthase
COG3324,translation initiation factor activity
COG3325,Belongs to the glycosyl hydrolase 18 family
COG3326,Membrane
COG3328,transposase activity
COG3333,protein conserved in bacteria
COG3335,DDE superfamily endonuclease
COG3336,cytochrome c oxidase
COG3339,Conserved Protein
COG3340,Belongs to the peptidase S51 family
COG3344,reverse transcriptase
COG3345,alpha-galactosidase
COG3346,SURF1 family
COG3378,Phage plasmid primase P4 family
COG3383,formate dehydrogenase (NAD+) activity
COG3384,dioxygenase
COG3385,transposase activity
COG3386,PFAM SMP-30 Gluconolaconase
COG3387,PFAM Glycoside hydrolase 15-related
COG3391,amine dehydrogenase activity
COG3393,-acetyltransferase
COG3395,kinase activity
COG3396,Phenylacetate-CoA oxygenase
COG3402,PFAM membrane-flanked domain
COG3408,Glycogen debranching enzyme
COG3409,Peptidoglycan-binding domain 1 protein
COG3411,Ferredoxin
COG3415,Transposase
COG3420,alginic acid biosynthetic process
COG3427,oxidoreductase activity, acting on CH-OH group of donors
COG3428,Bacterial PH domain
COG3437,response regulator, receiver
COG3439,Domain of unknown function DUF302
COG3440,Restriction endonuclease
COG3442,glutamine amidotransferase
COG3448,diguanylate cyclase activity
COG3449,Inhibits the supercoiling activity of DNA gyrase. Acts by inhibiting DNA gyrase at an early step, prior to (or at the step of) binding of DNA by the gyrase. It protects cells against toxins that target DNA gyrase, by inhibiting activity of these toxins and reducing the formation of lethal double-strand breaks in the cell
COG3451,type IV secretory pathway VirB4
COG3459,Glycosyltransferase 36 associated
COG3464,Transposase
COG3467,pyridoxamine 5'-phosphate
COG3468,outer membrane autotransporter barrel domain protein
COG3474,cytochrome
COG3476,COG3476 Tryptophan-rich sensory protein (mitochondrial benzodiazepine receptor homolog)
COG3480,Lon protease (S16) C-terminal proteolytic domain
COG3481,metal-dependent phosphohydrolase, HD sub domain
COG3483,tryptophan 2,3-dioxygenase activity
COG3485,protocatechuate 3,4-dioxygenase
COG3491,Belongs to the iron ascorbate-dependent oxidoreductase family
COG3496,Conserved Protein
COG3501,Rhs element vgr protein
COG3502,Protein conserved in bacteria
COG3505,Type IV secretory pathway VirD4
COG3507,Belongs to the glycosyl hydrolase 43 family
COG3508,Involved in the catabolism of homogentisate (2,5- dihydroxyphenylacetate or 2,5-OH-PhAc), a central intermediate in the degradation of phenylalanine and tyrosine. Catalyzes the oxidative ring cleavage of the aromatic ring of homogentisate to yield maleylacetoacetate
COG3509,depolymerase
COG3525,Glycosyl hydrolase, family 20, catalytic domain
COG3534,alpha-L-arabinofuranosidase
COG3536,Protein conserved in bacteria
COG3540,Alkaline phosphatase
COG3542,PFAM Cupin superfamily (DUF985)
COG3544,Protein conserved in bacteria
COG3545,Serine hydrolase
COG3546,catalase activity
30VC5,COG3547, Transposase and inactivated derivatives
33CWZ,COG3547 Transposase and inactivated derivatives
COG3547,Transposase (IS116 IS110 IS902 family)
COG3550,peptidyl-serine autophosphorylation
COG3568,Endonuclease Exonuclease Phosphatase
COG3572,ergothioneine biosynthetic process
COG3576,pyridoxamine 5-phosphate
COG3577,Aspartyl protease
COG3583,domain protein
COG3585,molybdate ion transport
COG3590,peptidase
COG3591,Belongs to the peptidase S1B family
COG3593,DNA synthesis involved in DNA repair
COG3595,metallopeptidase activity
COG3599,regulation of cell shape
COG3605,phosphoenolpyruvate-protein phosphotransferase activity
COG3608,succinylglutamate desuccinylase aspartoacylase
COG3610,response to peptide
COG3616,Alanine racemase, N-terminal domain
COG3618,amidohydrolase
COG3619,membrane
COG3620,sequence-specific DNA binding
COG3622,Belongs to the hyi family
COG3628,GPW Gp25 family protein
COG3629,intracellular signal transduction
